tmdb_id,imdb_id,title,release_date,language,rating_tmdb,rating_imdb,votes_imdb,revenue,director,cast,genres,runtimeMinutes
1171243,tt26660472,Lucky Man,2023-09-01,ta,4.7,6.4,774.0,6885735.0,Balaji Venugopal,"Yogi Babu, Raichal Rabecca Philip, Veera Bahu, R.S. Shivaji, Abdool Lee",Comedy,134
1073074,tt15180374,Mystery of Tattoo,2023-09-01,hi,0.0,8.1,39.0,5263930.0,Kalaiarasi Sathappan,"Daisy Shah, Arjun Rampal, Manoj Joshi, Myra Sareen, Ameesha Patel",Thriller,116
979808,tt24803050,Karumegangal Kalaiginrana,2023-09-01,ta,0.0,6.6,339.0,9148202.0,Thangar Bachan,"Bharathiraja, Aditi Balan, Yogi Babu, Gautham Vasudev Menon, S. A. Chandrasekhar",Drama,138
1175103,tt25050902,Tamil Kudimagan,2023-09-07,ta,7.0,6.6,470.0,5485225.0,Esakki Karvannan,"Cheran, Sri Priyanka, Lal, Aruldoss, Vela Ramamoorthy",Drama,123
1063633,tt22188452,Haddi,2023-09-07,hi,5.25,5.6,5860.0,5764575.0,Akshat Ajay Sharma,"Nawazuddin Siddiqui, Anurag Kashyap, Shreedhar Dubey, Saharsh Kumar Shukla, Ila Arun","Crime,Drama",134
1045385,tt15891388,Miss. Shetty Mr. Polishetty,2023-09-07,te,6.2,7.0,4921.0,13377112.0,Mahesh Babu P,"Anushka Shetty, Naveen Polishetty, Murali Sharma, Tulasi, Harsha Vardhan","Comedy,Drama,Romance",149
955118,tt15716828,Red Sandal Wood,2023-09-08,ta,8.2,5.6,1156.0,5233872.0,Guru Ramaanujam,"Vetri, Diya Mayurikha, Kabali Vishwanth, Ramachandra Raju, M. S. Bhaskar","Action,Drama,Thriller",94
1170089,tt28714919,Noodles,2023-09-08,ta,5.5,6.0,705.0,6419452.0,Madhan Kumar Dhakshinamoorthy,"Harish Uthaman, Sheela Rajkumar, Madhan Kumar Dhakshinamoorthy, Thirunavukkarasu, Vasant Marimuthu",Drama,106
981768,tt23782060,Thudikkum Karangal,2023-09-08,ta,4.5,5.5,107.0,6613968.0,Veludoss,"Vimal, Misha Narang, Sathish, Suresh Chandra Menon, Sangili Murugan",Action,140
1164853,tt27519853,Angaaragan,2023-09-08,ta,7.0,5.2,165.0,5312126.0,Mohan Dachu,"Sreepathy K A, Sathyaraj, Niya Sankranthil, Mahesh, Appukutty",Unknown,128
1099128,tt27116770,Pappachan Olivilaanu,2023-09-14,ml,5.75,4.1,361.0,1314836.0,Sinto Sunny,"Saiju Kurup, Johny Antony, Darsana Sudarshan, Kottayam Nazeer, Jolly Chirayath","Comedy,Family",134
1192873,tt29169117,Osmitay,2023-09-15,kn,0.0,8.9,38.0,6487637.0,Vilas Ratnakar Kshatriya,"Stany Alvares, Ashwin D'Costa, Wencita Dias, Denis Monteiro, Nellu Permannur",Drama,144
1225764,tt23781984,Ramanna Youth,2023-09-15,te,0.0,5.3,108.0,13955753.0,Abhai Naveen,"bunny abiran, Abhay Bethiganti",Action,122
