tmdb_id,imdb_id,title,release_date,language,rating_tmdb,rating_imdb,votes_imdb,revenue,director,cast,genres,runtimeMinutes
1199722,tt29718448,Get-Set Baby,2025-02-21,ml,0.0,6.2,1247.0,0.0,Vinay Govind,"Unni Mukundan, Nikhila Vimal, Meera Vasudevan, Punya Elizabeth Bose, Abhiram Radhakrishnan",Drama,137
1415460,tt10908160,Idi Mazha Kattu,2025-02-21,ml,0.0,7.2,518.0,0.0,Ambili S Rengan,"Chemban Vinod Jose, Sreenath Bhasi, Senthil Krishna Rajamani, Sudhi Koppa, Saran Jith","Action,Thriller",139
1196942,tt22457506,Mere Husband Ki Biwi,2025-02-21,hi,5.8,4.2,9596.0,0.0,Mudassar Aziz,"Arjun Kapoor, Bhumi Pednekar, Rakul Preet Singh, Harsh Gujral, Aditya Seal","Comedy,Romance",142
1279012,tt31236745,Dreams Such As Ours,2025-02-21,hi,0.0,8.0,65.0,0.0,Saagar Gupta,"Mona Ambegaonkar, Shishir Sharma, Satvik Bhatia, Arpit Chaudhary, Abhay Kulkarni","Drama,Romance",120
1503562,tt27957147,Chattuli,2025-02-21,ml,1.0,3.9,26.0,0.0,Raj Babu,"Shine Tom Chacko, Jaffer Idukki, Kalabhavan Shajon, Sruthi Jayan, Varsha Prasad","Crime,Drama",108
1222049,,Nilavuku En Mel Ennadi Kobam,2025-02-21,ta,6.4,,,,,,,
1436660,tt29606517,Ramam Raghavam,2025-02-21,te,0.0,5.3,218.0,0.0,Dhanraj,"Samuthirakani, Dhanraj, Mokksha, Harish Uthaman, Satya","Drama,Thriller",118
1436133,,Kaushaljis vs Kaushal,2025-02-21,hi,0.0,,,,,,,
1131038,tt27813242,Edattam,2025-02-21,ta,0.0,8.6,51.0,0.0,Esan,"Shreekumar, Raja Suriya, Venba, Anu Krishna, Powerstar Srinivasan",Drama,106
681227,tt7322988,Firrkie,2025-02-21,hi,0.0,6.8,31.0,0.0,Ankush Bhatt,"Neil Nitin Mukesh, Jackie Shroff, Karan Singh Grover, Kay Kay Menon, Sandeepa Dhar",Thriller,145
1418436,tt31436872,Mazaka,2025-02-26,te,7.0,5.1,570.0,0.0,Trinadha Rao Nakkina,"Sundeep Kishan, Rao Ramesh, Ritu Varma, Anshu, Murali Sharma",Comedy,128
1226572,tt28007064,Superboys of Malegaon,2025-02-27,hi,7.5,7.7,8492.0,0.0,Reema Kagti,"Adarsh Gourav, Shashank Arora, Vineet Kumar Singh, Anuj Singh Duhan, Saqib Ayub","Comedy,Drama",127
1439673,tt35683447,Takita Tadimi Tandana,2025-02-27,te,0.0,7.7,1101.0,0.0,,,"Drama,Romance",107
